bom.csv,,,,,,,,,,LCSC BOM Quotation,,,,,,,,,,,,,,,
,,,,,,,,,,BOM Date Created?23/06/26 14:30:17,,,,BOM Export Date: 23/06/26 14:32:28,,,,"The matching result is a real-time query result, availability and prices may fluctuate.  
Backorder items are estimated prices for your reference, please submit ""Create Quote"" to get the real price.
All information is provided ""as is"" and is subject to change without notice.  Any use made of the information provided is without recourse to LCSC and at the user's risk.",,,,,,,
,,,,,,,,,,"EST TOTAL :$8.08
",,,,Website?https://www.lcsc.com/bom,,,,,,,,,,,
Uploaded data,,,,,,,,,,LCSC Matching Results,,,,,,,,,,,,,,,
LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(USD),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
,,,1uF,0805,,-,20,,,CL21B105KBFNNNE,Samsung Electro-Mechanics,20,0.0469,0.94,C28323,0805,20,20,2000,62740,In Stock,,1uF ±10% 50V Ceramic Capacitor X7R 0805,Partial Matches,https://www.lcsc.com/product-detail/C28323.html
,,,100nF,0805,,-,50,,,CL21B104KBCNNNC,Samsung Electro-Mechanics,50,0.0137,0.69,C1711,0805,50,50,4000,33700,In Stock,,100nF ±10% 50V Ceramic Capacitor X7R 0805,Partial Matches,https://www.lcsc.com/product-detail/C1711.html
C784081,,,10uF,1808,,-,5,,,FK08X102K502EFQ,PSA,5,0.1579,0.79,C784081,1808,5,5,1000,17900,In Stock,,1nF ±10% Safety Capacitor X1 Y2 1808,Exact Matches,https://www.lcsc.com/product-detail/C784081.html
C784081,,,100uF,1808,,-,5,,,FK08X102K502EFQ,PSA,5,0.1579,0.79,C784081,1808,5,5,1000,17900,In Stock,,1nF ±10% Safety Capacitor X1 Y2 1808,Exact Matches,https://www.lcsc.com/product-detail/C784081.html
,,,56K,1206,,-,100,,,FRC1206J563 TS,FOJAN,100,0.0043,0.43,C2907520,1206,100,100,5000,149200,In Stock,,56k? ±5% 250mW 1206 Thick Film Resistor,Partial Matches,https://www.lcsc.com/product-detail/C2907520.html
,,,5.1K,1206,,-,100,,,FRC1206J512 TS,FOJAN,100,0.0046,0.46,C2907509,1206,100,100,5000,268000,In Stock,,5.1k? ±5% 250mW 1206 Thick Film Resistor,Partial Matches,https://www.lcsc.com/product-detail/C2907509.html
C5373042,,,CH334P,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,,-,1,,,CH334P,WCH,1,0.4625,0.46,C5373042,QFN-16(3x3),1,1,5000,16546,In Stock,,480Mbps Hub USB 2.0 QFN-16(3x3) Interface Controllers RoHS,Exact Matches,https://www.lcsc.com/product-detail/C5373042.html
C5368946,,,GT-USB-7004B,USB-C-SMD_GT-USB-7004B,,-,3,,,GT-USB-7004B,G-Switch,3,0.8611,2.58,C5368946,SMD,1,1,800,4463,In Stock,,"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle",Exact Matches,https://www.lcsc.com/product-detail/C5368946.html
C530628,,,U-A-24DS-W-1,USB-A-SMD_U-A-24DS-W-2,,-,5,,,U-A-24DS-W-1,Korean Hroparts Elec,5,0.1123,0.56,C530628,SMD,5,5,100,23765,In Stock,,USB-A (USB TYPE-A) Receptacle Connector 4 Position Recessed Mount,Exact Matches,https://www.lcsc.com/product-detail/C530628.html
C2842186,,,XC32M4-12.000-F10NNFT,CRYSTAL-SMD_4P-L3.2-W2.5-BL,,-,5,,,XC32M4-12.000-F10NNFT,HCI,5,0.0758,0.38,C2842186,SMD3225-4P,5,5,3000,24580,In Stock,,Crystal 12MHz ±10ppm 10pF 100? SMD3225-4P,Exact Matches,https://www.lcsc.com/product-detail/C2842186.html
