Designator,Mid X,Mid Y,Rotation,Layer
C1,152.8125,-106.075,180.0,top
C2,152.8125,-104.115,180.0,top
C3,152.8175,-102.15,0.0,top
C4,151.1775,-99.775,0.0,top
C5,154.8775,-96.97,180.0,top
R1,140.375,-107.72,90.0,top
R2,147.385,-107.81,90.0,top
R3,149.64,-107.81,90.0,top
R4,137.375,-107.775,90.0,top
R5,157.015,-93.11,270.0,top
R6,148.505,-97.09,180.0,top
U1,157.305,-103.15,90.0,top
U2,148.675,-114.1225,0.0,top
U3,138.625,-114.12,0.0,top
U4,150.44,-92.0425,180.0,top
USB1,180.015,-114.195,0.0,top
USB2,162.47,-114.19,0.0,top
X1,156.915,-107.195,180.0,top
